city,year,month,latitude,longitude,elevation_m,max_temp_c,min_temp_c,avg_temp_c,humidity_pct,wind_speed_ms,ndvi,ndwi,ndbi,population_density,emission_index,avg_building_height,urban_canyon_index,industrial_heat_factor,ac_thermal_exhaust,sensor_reliability,built_up_ratio,green_cover_ratio,water_cover_ratio,lst_day_mean,lst_night_mean,viirs_avg_radiance
Lucknow,2020,1,26.8467,80.9462,123,19.8,7.2,14.8,63.1,1.5,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,20.1,7.75,65.86
Lucknow,2020,2,26.8467,80.9462,123,21.6,8.5,16.6,51.6,1.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,22.36,9.25,59.37
Lucknow,2020,3,26.8467,80.9462,123,29.9,17.6,24.9,34.8,2.9,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,30.22,17.7,59.97
Lucknow,2020,4,26.8467,80.9462,123,40.1,27.2,35.1,48.2,2.3,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,36.71,24.72,62.79
Lucknow,2020,5,26.8467,80.9462,123,43.1,28.6,38.1,37.0,2.0,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,44.2,31.73,64.58
Lucknow,2020,6,26.8467,80.9462,123,39.6,27.6,34.6,49.6,2.5,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,39.33,26.53,60.55
Lucknow,2020,7,26.8467,80.9462,123,36.6,23.6,31.6,76.5,2.3,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,37.71,25.44,64.32
Lucknow,2020,8,26.8467,80.9462,123,36.3,23.9,31.3,77.6,2.8,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,36.95,24.29,65.17
Lucknow,2020,9,26.8467,80.9462,123,35.3,22.4,30.3,82.1,2.1,0.294,-0.21,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,36.84,24.75,63.49
Lucknow,2020,10,26.8467,80.9462,123,31.4,16.6,26.4,48.5,1.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,32.66,20.13,61.75
Lucknow,2020,11,26.8467,80.9462,123,27.2,14.5,22.2,62.7,1.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,28.25,15.79,63.44
Lucknow,2020,12,26.8467,80.9462,123,20.5,5.7,15.5,52.3,1.4,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,21.52,8.89,57.5
Lucknow,2021,1,26.8467,80.9462,123,18.9,6.7,13.9,54.8,2.0,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,18.85,6.03,65.62
Lucknow,2021,2,26.8467,80.9462,123,25.3,12.6,20.3,64.1,2.6,0.21,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,26.1,13.48,61.67
Lucknow,2021,3,26.8467,80.9462,123,26.9,12.9,21.9,34.3,3.6,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,28.33,16.21,65.6
Lucknow,2021,4,26.8467,80.9462,123,34.5,19.7,29.5,30.8,5.0,0.147,-0.35,0.18,11123,5.39,18.6,0.9,0.55,0.86,0.95,0.62,0.09,0.021,35.3,22.65,64.11
